AcresBurned,Counties,Started,Started_Date,Started_Hour
50.0,"San Luis Obispo, CA",2013-05-25T17:35:00Z,2013-05-25,17
46.0,"Calaveras, CA",2013-08-17T10:11:00Z,2013-08-17,10
46.0,"Fresno, CA",2013-06-17T14:41:00Z,2013-06-17,14
45.0,"Mendocino, CA",2013-07-23T13:29:00Z,2013-07-23,13
44.0,"Ventura, CA",2013-12-10T02:26:00Z,2013-12-10,02
43.0,"Shasta, CA",2013-07-09T11:59:00Z,2013-07-09,11
42.0,"Riverside, CA",2013-06-08T15:37:00Z,2013-06-08,15
40.0,"Santa Clara, CA",2013-12-31T05:30:00Z,2013-12-31,05
40.0,"Orange, CA",2013-10-06T10:52:00Z,2013-10-06,10
40.0,"San Diego, CA",2013-09-26T17:29:00Z,2013-09-26,17
40.0,"Riverside, CA",2013-08-16T13:31:00Z,2013-08-16,13
40.0,"Siskiyou, CA",2013-07-31T15:25:00Z,2013-07-31,15
40.0,"Riverside, CA",2013-07-19T16:21:00Z,2013-07-19,16
40.0,"Riverside, CA",2013-06-14T13:47:00Z,2013-06-14,13
40.0,"Riverside, CA",2013-05-16T13:48:00Z,2013-05-16,13
38.0,"El Dorado, CA",2013-08-24T14:54:00Z,2013-08-24,14
38.0,"Lake, CA",2013-08-07T12:35:00Z,2013-08-07,12
38.0,"Alameda, CA",2013-07-06T13:09:00Z,2013-07-06,13
35.0,"Fresno, CA",2013-06-13T15:54:00Z,2013-06-13,15
35.0,"San Luis Obispo, CA",2013-05-20T15:45:00Z,2013-05-20,15
34.0,"Shasta, CA",2013-08-04T18:00:00Z,2013-08-04,18
33.0,"Shasta, CA",2013-11-07T16:10:00Z,2013-11-07,16
31.0,"Calaveras, CA",2013-07-22T12:34:00Z,2013-07-22,12
30.0,"Lake, CA",2013-09-15T19:45:00Z,2013-09-15,19
30.0,"Lake, CA",2013-06-05T16:05:00Z,2013-06-05,16
30.0,"San Bernardino, CA",2013-04-20T17:30:00Z,2013-04-20,17
28.0,"Sonoma, CA",2013-06-10T00:46:00Z,2013-06-10,00
28.0,"Solano, CA",2013-06-10T00:46:00Z,2013-06-10,00
28.0,"Lake, CA",2013-06-10T00:46:00Z,2013-06-10,00
28.0,"Colusa, CA",2013-06-10T00:46:00Z,2013-06-10,00
