AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Fire
150.0,"Riverside, CA",2013-07-16T17:48:00Z,2013-07-16,17.0,23.13,0.61,3.62,272.01,0.0,0.1,1
150.0,"Stanislaus, CA",2013-07-12T15:35:00Z,2013-07-12,15.0,19.69,0.45,1.86,325.78,0.0,0.14,1
150.0,"Fresno, CA",2013-06-25T13:36:00Z,2013-06-25,13.0,20.68,0.7,2.09,295.32,0.0,0.12,1
150.0,"Butte, CA",2013-05-22T00:56:00Z,2013-05-22,0.0,25.33,0.14,4.88,311.33,0.0,0.18,1
149.0,"Los Angeles, CA",2013-05-28T11:30:00Z,2013-05-28,11.0,16.4,0.82,1.06,188.09,0.0,0.07,1
134.0,"Tulare, CA",2013-09-08T11:53:00Z,2013-09-08,11.0,22.65,0.3,1.15,230.13,0.0,0.11,1
125.0,"Sonoma, CA",2013-05-01T02:01:00Z,2013-05-01,2.0,26.44,0.1,2.83,354.12,0.0,0.16,1
124.0,"Solano, CA",2013-06-18T15:18:00Z,2013-06-18,15.0,19.6,0.52,1.12,190.42,0.0,0.07,1
124.0,"Merced, CA",2013-06-04T15:42:00Z,2013-06-04,15.0,20.29,0.37,3.03,312.85,0.0,0.12,1
124.0,"Riverside, CA",2013-05-25T14:59:00Z,2013-05-25,14.0,12.98,0.47,1.02,287.35,0.0,0.21,1
120.0,"Lake, CA",2013-11-08T13:42:00Z,2013-11-08,13.0,3.47,0.67,3.48,275.67,0.0,0.29,1
116.0,"El Dorado, CA",2013-08-16T13:55:00Z,2013-08-16,13.0,29.08,0.54,3.87,179.46,0.0,0.04,1
110.0,"San Bernardino, CA",2013-08-17T17:25:00Z,2013-08-17,17.0,28.74,0.3,1.79,203.65,0.0,0.06,1
108.0,"Fresno, CA",2013-06-13T11:54:00Z,2013-06-13,11.0,19.13,0.3,3.99,305.91,0.0,0.11,1
105.0,"Monterey, CA",2013-06-29T14:09:00Z,2013-06-29,14.0,15.53,0.81,0.26,25.75,0.0,0.05,1
100.0,"Los Angeles, CA",2013-08-09T17:15:00Z,2013-08-09,17.0,20.76,0.48,2.16,187.93,0.0,0.05,1
100.0,"Tuolumne, CA",2013-06-02T13:30:00Z,2013-06-02,13.0,13.12,0.55,2.26,60.54,0.0,0.2,1
100.0,"San Diego, CA",2013-05-22T16:14:00Z,2013-05-22,16.0,17.46,0.75,3.69,193.48,0.0,0.06,1
98.0,"Mendocino, CA",2013-09-28T13:57:00Z,2013-09-28,13.0,12.15,0.9,2.31,342.25,0.0,0.14,1
97.0,"Modoc, CA",2013-09-05T15:57:00Z,2013-09-05,15.0,11.92,0.5,0.8,156.86,0.0,0.06,1
97.0,"San Bernardino, CA",2013-08-24T15:09:00Z,2013-08-24,15.0,21.97,0.28,0.55,132.61,0.0,0.08,1
97.0,"Lassen, CA",2013-08-09T15:51:00Z,2013-08-09,15.0,15.52,0.46,1.45,320.94,0.0,0.11,1
96.0,"Amador, CA",2013-06-12T16:43:00Z,2013-06-12,16.0,22.22,0.33,2.23,204.51,0.0,0.21,1
94.0,"San Luis Obispo, CA",2013-09-24T03:20:00Z,2013-09-24,3.0,20.43,0.49,2.11,359.27,0.0,0.11,1
92.0,"Butte, CA",2013-08-01T16:01:00Z,2013-08-01,16.0,21.97,0.34,2.51,164.71,0.0,0.16,1
91.0,"Madera, CA",2013-05-19T15:07:00Z,2013-05-19,15.0,18.77,0.43,3.55,310.84,0.0,0.12,1
90.0,"Riverside, CA",2013-05-21T14:16:00Z,2013-05-21,14.0,15.02,0.77,3.67,342.74,0.13,0.23,1
85.0,"San Luis Obispo, CA",2013-07-07T13:16:00Z,2013-07-07,13.0,14.79,0.84,1.98,317.55,0.0,0.12,1
82.0,"Mendocino, CA",2013-11-22T10:06:00Z,2013-11-22,10.0,12.66,0.32,5.24,18.12,0.0,0.25,1
80.0,"Butte, CA",2013-08-31T17:23:00Z,2013-08-31,17.0,27.76,0.25,1.78,169.34,0.0,0.16,1
80.0,"Fresno, CA",2013-04-09T12:35:00Z,2013-04-09,12.0,11.7,0.33,2.54,324.55,0.0,0.18,1
75.0,"Tehama, CA",2013-09-15T17:39:00Z,2013-09-15,17.0,22.11,0.46,3.1,161.22,0.0,0.11,1
75.0,"San Bernardino, CA",2013-07-25T15:09:00Z,2013-07-25,15.0,23.44,0.46,0.63,158.6,0.0,0.15,1
75.0,"Madera, CA",2013-06-12T16:40:00Z,2013-06-12,16.0,25.8,0.34,1.55,302.93,0.0,0.11,1
75.0,"San Bernardino, CA",2013-05-13T13:30:00Z,2013-05-13,13.0,18.76,0.55,0.55,32.6,0.0,0.09,1
75.0,"Napa, CA",2013-04-30T23:44:00Z,2013-04-30,23.0,29.0,0.06,3.43,358.26,0.0,0.12,1
73.0,"San Bernardino, CA",2013-09-11T16:57:00Z,2013-09-11,16.0,21.65,0.35,1.34,213.44,0.0,0.07,1
73.0,"Yuba, CA",2013-07-08T09:59:00Z,2013-07-08,9.0,20.96,0.54,1.74,98.74,0.0,0.16,1
72.0,"Butte, CA",2013-05-01T04:16:00Z,2013-05-01,4.0,20.39,0.09,5.05,4.32,0.0,0.17,1
70.0,"Lake, CA",2013-08-16T17:57:00Z,2013-08-16,17.0,23.64,0.39,1.79,275.87,0.0,0.26,1
68.0,"Modoc, CA",2013-09-07T17:30:00Z,2013-09-07,17.0,19.57,0.31,1.91,86.53,0.0,0.06,1
64.0,"Ventura, CA",2013-11-14T11:05:00Z,2013-11-14,11.0,16.36,0.93,0.49,114.13,2.44,0.45,1
60.0,"Riverside, CA",2013-08-06T13:39:00Z,2013-08-06,13.0,18.86,0.6,1.49,231.34,0.0,0.27,1
60.0,"Riverside, CA",2013-08-04T16:29:00Z,2013-08-04,16.0,18.36,0.88,8.02,187.8,0.56,0.26,1
51.0,"San Luis Obispo, CA",2013-11-08T10:30:00Z,2013-11-08,10.0,8.99,0.67,2.05,38.12,0.0,0.12,1
50.0,"Lake, CA",2013-11-23T12:04:00Z,2013-11-23,12.0,2.85,0.58,4.69,313.98,0.0,0.29,1
50.0,"Siskiyou, CA",2013-08-15T14:40:00Z,2013-08-15,14.0,11.29,0.58,0.87,134.23,0.0,0.18,1
50.0,"Santa Clara, CA",2013-07-12T13:09:00Z,2013-07-12,13.0,29.79,0.38,2.64,182.25,0.0,0.16,1
50.0,"Alameda, CA",2013-07-04T10:00:00Z,2013-07-04,10.0,17.79,0.82,2.42,215.06,0.0,0.1,1
50.0,"San Luis Obispo, CA",2013-05-25T17:35:00Z,2013-05-25,17.0,15.96,0.52,2.87,289.84,0.0,0.12,1
46.0,"Calaveras, CA",2013-08-17T10:11:00Z,2013-08-17,10.0,26.95,0.86,2.49,131.72,0.5,0.13,1
46.0,"Fresno, CA",2013-06-17T14:41:00Z,2013-06-17,14.0,19.21,0.43,2.83,313.99,0.0,0.11,1
45.0,"Mendocino, CA",2013-07-23T13:29:00Z,2013-07-23,13.0,13.87,0.91,0.72,311.56,0.01,0.11,1
44.0,"Ventura, CA",2013-12-10T02:26:00Z,2013-12-10,2.0,18.7,0.88,0.48,247.0,0.1,0.45,1
43.0,"Shasta, CA",2013-07-09T11:59:00Z,2013-07-09,11.0,18.52,0.42,1.33,12.18,0.0,0.27,1
42.0,"Riverside, CA",2013-06-08T15:37:00Z,2013-06-08,15.0,18.1,0.56,6.2,42.86,0.0,0.17,1
40.0,"Santa Clara, CA",2013-12-31T05:30:00Z,2013-12-31,5.0,5.6,0.91,3.03,172.15,0.4,0.37,1
40.0,"Orange, CA",2013-10-06T10:52:00Z,2013-10-06,10.0,16.15,0.31,2.33,55.1,0.0,0.06,1
40.0,"San Diego, CA",2013-09-26T17:29:00Z,2013-09-26,17.0,18.61,0.68,5.1,195.45,0.02,0.03,1
40.0,"Riverside, CA",2013-08-16T13:31:00Z,2013-08-16,13.0,20.21,0.7,3.9,278.51,0.01,0.26,1
40.0,"Siskiyou, CA",2013-07-31T15:25:00Z,2013-07-31,15.0,19.9,0.36,0.64,164.88,0.0,0.17,1
40.0,"Riverside, CA",2013-07-19T16:21:00Z,2013-07-19,16.0,26.66,0.44,4.88,77.46,0.0,0.1,1
40.0,"Riverside, CA",2013-06-14T13:47:00Z,2013-06-14,13.0,15.59,0.72,7.48,184.77,0.33,0.21,1
40.0,"Riverside, CA",2013-05-16T13:48:00Z,2013-05-16,13.0,11.58,0.6,1.88,189.36,0.04,0.27,1
38.0,"El Dorado, CA",2013-08-24T14:54:00Z,2013-08-24,14.0,28.6,0.6,4.4,155.53,0.0,0.04,1
38.0,"Lake, CA",2013-08-07T12:35:00Z,2013-08-07,12.0,19.11,0.79,2.43,123.29,0.0,0.2,1
38.0,"Alameda, CA",2013-07-06T13:09:00Z,2013-07-06,13.0,13.48,0.87,3.3,215.31,0.0,0.09,1
35.0,"Fresno, CA",2013-06-13T15:54:00Z,2013-06-13,15.0,19.86,0.26,3.12,311.19,0.0,0.11,1
35.0,"San Luis Obispo, CA",2013-05-20T15:45:00Z,2013-05-20,15.0,18.16,0.35,2.39,2.22,0.0,0.13,1
34.0,"Shasta, CA",2013-08-04T18:00:00Z,2013-08-04,18.0,26.92,0.23,0.7,175.51,0.0,0.25,1
33.0,"Shasta, CA",2013-11-07T16:10:00Z,2013-11-07,16.0,10.24,0.73,0.73,330.34,0.0,0.28,1
31.0,"Calaveras, CA",2013-07-22T12:34:00Z,2013-07-22,12.0,27.02,0.86,2.32,183.06,0.02,0.17,1
30.0,"Lake, CA",2013-09-15T19:45:00Z,2013-09-15,19.0,18.74,0.46,1.74,245.39,0.0,0.3,1
30.0,"Lake, CA",2013-06-05T16:05:00Z,2013-06-05,16.0,20.49,0.44,1.26,178.56,0.0,0.28,1
30.0,"San Bernardino, CA",2013-04-20T17:30:00Z,2013-04-20,17.0,23.04,0.16,1.58,11.08,0.0,0.07,1
28.0,"Sonoma, CA",2013-06-10T00:46:00Z,2013-06-10,0.0,18.03,0.69,4.8,237.58,0.0,0.17,1
28.0,"Solano, CA",2013-06-10T00:46:00Z,2013-06-10,0.0,24.11,0.42,3.24,203.21,0.0,0.06,1
28.0,"Lake, CA",2013-06-10T00:46:00Z,2013-06-10,0.0,22.31,0.73,0.85,201.32,0.0,0.34,1
28.0,"Colusa, CA",2013-06-10T00:46:00Z,2013-06-10,0.0,33.46,0.29,5.85,158.53,0.0,0.11,1
27.0,"Shasta, CA",2013-08-14T15:37:00Z,2013-08-14,15.0,19.0,0.46,1.53,346.4,0.0,0.26,1
25.0,"San Diego, CA",2013-07-28T09:43:00Z,2013-07-28,9.0,16.8,0.92,2.2,293.22,0.0,0.05,1
25.0,"Lake, CA",2013-06-20T14:29:00Z,2013-06-20,14.0,19.46,0.67,0.4,218.78,0.0,0.29,1
25.0,"Riverside, CA",2013-05-20T13:47:00Z,2013-05-20,13.0,15.65,0.75,4.0,334.69,0.02,0.24,1
23.0,"Lake, CA",2013-11-23T14:17:00Z,2013-11-23,14.0,3.48,0.52,4.9,317.94,0.0,0.29,1
15.0,"Mendocino, CA",2013-12-30T11:00:00Z,2013-12-30,11.0,3.96,0.9,1.97,91.97,0.0,0.14,1
15.0,"Riverside, CA",2013-07-19T17:31:00Z,2013-07-19,17.0,26.57,0.44,4.81,76.1,0.0,0.1,1
15.0,"Madera, CA",2013-05-12T13:02:00Z,2013-05-12,13.0,19.47,0.57,1.83,318.02,0.0,0.13,1
0.0,"Humboldt, CA",2013-08-03T08:00:00Z,2013-08-03,8.0,8.81,0.86,2.51,103.21,0.0,0.33,1
0.0,"Riverside, CA",2013-06-09T12:30:00Z,2013-06-09,12.0,15.26,0.62,4.94,65.98,0.0,0.17,1
97717.0,"El Dorado, CA",2014-09-13T16:32:00Z,2014-09-13,16.0,27.5,0.4,6.52,298.64,0.0,0.03,1
50042.0,"Siskiyou, CA",2014-08-02T09:00:00Z,2014-08-02,9.0,21.01,0.35,0.41,116.77,0.0,0.15,1
39736.0,"Shasta, CA",2014-07-30T20:15:00Z,2014-07-30,20.0,36.66,0.18,2.43,190.73,0.0,0.24,1
