AcresBurned,Counties,Started,Started_Date,Started_Hour,temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1
100.0,"San Diego, CA",2013-05-22T16:14:00Z,2013-05-22,16,17.46,0.75,3.69,193.48,0.0,0.06
98.0,"Mendocino, CA",2013-09-28T13:57:00Z,2013-09-28,13,12.15,0.9,2.31,342.25,0.0,0.14
97.0,"Modoc, CA",2013-09-05T15:57:00Z,2013-09-05,15,11.92,0.5,0.8,156.86,0.0,0.06
97.0,"San Bernardino, CA",2013-08-24T15:09:00Z,2013-08-24,15,21.97,0.28,0.55,132.61,0.0,0.08
97.0,"Lassen, CA",2013-08-09T15:51:00Z,2013-08-09,15,15.52,0.46,1.45,320.94,0.0,0.11
96.0,"Amador, CA",2013-06-12T16:43:00Z,2013-06-12,16,22.22,0.33,2.23,204.51,0.0,0.21
94.0,"San Luis Obispo, CA",2013-09-24T03:20:00Z,2013-09-24,3,20.43,0.49,2.11,359.27,0.0,0.11
92.0,"Butte, CA",2013-08-01T16:01:00Z,2013-08-01,16,21.97,0.34,2.51,164.71,0.0,0.16
91.0,"Madera, CA",2013-05-19T15:07:00Z,2013-05-19,15,18.77,0.43,3.55,310.84,0.0,0.12
90.0,"Riverside, CA",2013-05-21T14:16:00Z,2013-05-21,14,15.02,0.77,3.67,342.74,0.13,0.23
85.0,"San Luis Obispo, CA",2013-07-07T13:16:00Z,2013-07-07,13,14.79,0.84,1.98,317.55,0.0,0.12
82.0,"Mendocino, CA",2013-11-22T10:06:00Z,2013-11-22,10,12.66,0.32,5.24,18.12,0.0,0.25
80.0,"Butte, CA",2013-08-31T17:23:00Z,2013-08-31,17,27.76,0.25,1.78,169.34,0.0,0.16
80.0,"Fresno, CA",2013-04-09T12:35:00Z,2013-04-09,12,11.7,0.33,2.54,324.55,0.0,0.18
75.0,"Tehama, CA",2013-09-15T17:39:00Z,2013-09-15,17,22.11,0.46,3.1,161.22,0.0,0.11
75.0,"San Bernardino, CA",2013-07-25T15:09:00Z,2013-07-25,15,23.44,0.46,0.63,158.6,0.0,0.15
75.0,"Madera, CA",2013-06-12T16:40:00Z,2013-06-12,16,25.8,0.34,1.55,302.93,0.0,0.11
75.0,"San Bernardino, CA",2013-05-13T13:30:00Z,2013-05-13,13,18.76,0.55,0.55,32.6,0.0,0.09
75.0,"Napa, CA",2013-04-30T23:44:00Z,2013-04-30,23,29.0,0.06,3.43,358.26,0.0,0.12
73.0,"San Bernardino, CA",2013-09-11T16:57:00Z,2013-09-11,16,21.65,0.35,1.34,213.44,0.0,0.07
73.0,"Yuba, CA",2013-07-08T09:59:00Z,2013-07-08,9,20.96,0.54,1.74,98.74,0.0,0.16
72.0,"Butte, CA",2013-05-01T04:16:00Z,2013-05-01,4,20.39,0.09,5.05,4.32,0.0,0.17
70.0,"Lake, CA",2013-08-16T17:57:00Z,2013-08-16,17,23.64,0.39,1.79,275.87,0.0,0.26
68.0,"Modoc, CA",2013-09-07T17:30:00Z,2013-09-07,17,19.57,0.31,1.91,86.53,0.0,0.06
64.0,"Ventura, CA",2013-11-14T11:05:00Z,2013-11-14,11,16.36,0.93,0.49,114.13,2.44,0.45
60.0,"Riverside, CA",2013-08-06T13:39:00Z,2013-08-06,13,18.86,0.6,1.49,231.34,0.0,0.27
60.0,"Riverside, CA",2013-08-04T16:29:00Z,2013-08-04,16,18.36,0.88,8.02,187.8,0.56,0.26
51.0,"San Luis Obispo, CA",2013-11-08T10:30:00Z,2013-11-08,10,8.99,0.67,2.05,38.12,0.0,0.12
50.0,"Lake, CA",2013-11-23T12:04:00Z,2013-11-23,12,2.85,0.58,4.69,313.98,0.0,0.29
50.0,"Siskiyou, CA",2013-08-15T14:40:00Z,2013-08-15,14,11.29,0.58,0.87,134.23,0.0,0.18
50.0,"Santa Clara, CA",2013-07-12T13:09:00Z,2013-07-12,13,29.79,0.38,2.64,182.25,0.0,0.16
50.0,"Alameda, CA",2013-07-04T10:00:00Z,2013-07-04,10,17.79,0.82,2.42,215.06,0.0,0.1
50.0,"San Luis Obispo, CA",2013-05-25T17:35:00Z,2013-05-25,17,15.96,0.52,2.87,289.84,0.0,0.12
46.0,"Calaveras, CA",2013-08-17T10:11:00Z,2013-08-17,10,26.95,0.86,2.49,131.72,0.5,0.13
46.0,"Fresno, CA",2013-06-17T14:41:00Z,2013-06-17,14,19.21,0.43,2.83,313.99,0.0,0.11
45.0,"Mendocino, CA",2013-07-23T13:29:00Z,2013-07-23,13,13.87,0.91,0.72,311.56,0.01,0.11
44.0,"Ventura, CA",2013-12-10T02:26:00Z,2013-12-10,2,18.7,0.88,0.48,247.0,0.1,0.45
43.0,"Shasta, CA",2013-07-09T11:59:00Z,2013-07-09,11,18.52,0.42,1.33,12.18,0.0,0.27
42.0,"Riverside, CA",2013-06-08T15:37:00Z,2013-06-08,15,18.1,0.56,6.2,42.86,0.0,0.17
40.0,"Santa Clara, CA",2013-12-31T05:30:00Z,2013-12-31,5,5.6,0.91,3.03,172.15,0.4,0.37
40.0,"Orange, CA",2013-10-06T10:52:00Z,2013-10-06,10,16.15,0.31,2.33,55.1,0.0,0.06
40.0,"San Diego, CA",2013-09-26T17:29:00Z,2013-09-26,17,18.61,0.68,5.1,195.45,0.02,0.03
40.0,"Riverside, CA",2013-08-16T13:31:00Z,2013-08-16,13,20.21,0.7,3.9,278.51,0.01,0.26
40.0,"Siskiyou, CA",2013-07-31T15:25:00Z,2013-07-31,15,19.9,0.36,0.64,164.88,0.0,0.17
40.0,"Riverside, CA",2013-07-19T16:21:00Z,2013-07-19,16,26.66,0.44,4.88,77.46,0.0,0.1
40.0,"Riverside, CA",2013-06-14T13:47:00Z,2013-06-14,13,15.59,0.72,7.48,184.77,0.33,0.21
40.0,"Riverside, CA",2013-05-16T13:48:00Z,2013-05-16,13,11.58,0.6,1.88,189.36,0.04,0.27
38.0,"El Dorado, CA",2013-08-24T14:54:00Z,2013-08-24,14,28.6,0.6,4.4,155.53,0.0,0.04
38.0,"Lake, CA",2013-08-07T12:35:00Z,2013-08-07,12,19.11,0.79,2.43,123.29,0.0,0.2
38.0,"Alameda, CA",2013-07-06T13:09:00Z,2013-07-06,13,13.48,0.87,3.3,215.31,0.0,0.09
35.0,"Fresno, CA",2013-06-13T15:54:00Z,2013-06-13,15,19.86,0.26,3.12,311.19,0.0,0.11
35.0,"San Luis Obispo, CA",2013-05-20T15:45:00Z,2013-05-20,15,18.16,0.35,2.39,2.22,0.0,0.13
34.0,"Shasta, CA",2013-08-04T18:00:00Z,2013-08-04,18,26.92,0.23,0.7,175.51,0.0,0.25
33.0,"Shasta, CA",2013-11-07T16:10:00Z,2013-11-07,16,10.24,0.73,0.73,330.34,0.0,0.28
31.0,"Calaveras, CA",2013-07-22T12:34:00Z,2013-07-22,12,27.02,0.86,2.32,183.06,0.02,0.17
30.0,"Lake, CA",2013-09-15T19:45:00Z,2013-09-15,19,18.74,0.46,1.74,245.39,0.0,0.3
30.0,"Lake, CA",2013-06-05T16:05:00Z,2013-06-05,16,20.49,0.44,1.26,178.56,0.0,0.28
30.0,"San Bernardino, CA",2013-04-20T17:30:00Z,2013-04-20,17,23.04,0.16,1.58,11.08,0.0,0.07
28.0,"Sonoma, CA",2013-06-10T00:46:00Z,2013-06-10,0,18.03,0.69,4.8,237.58,0.0,0.17
28.0,"Solano, CA",2013-06-10T00:46:00Z,2013-06-10,0,24.11,0.42,3.24,203.21,0.0,0.06
28.0,"Lake, CA",2013-06-10T00:46:00Z,2013-06-10,0,22.31,0.73,0.85,201.32,0.0,0.34
28.0,"Colusa, CA",2013-06-10T00:46:00Z,2013-06-10,0,33.46,0.29,5.85,158.53,0.0,0.11
27.0,"Shasta, CA",2013-08-14T15:37:00Z,2013-08-14,15,19.0,0.46,1.53,346.4,0.0,0.26
25.0,"San Diego, CA",2013-07-28T09:43:00Z,2013-07-28,9,16.8,0.92,2.2,293.22,0.0,0.05
25.0,"Lake, CA",2013-06-20T14:29:00Z,2013-06-20,14,19.46,0.67,0.4,218.78,0.0,0.29
25.0,"Riverside, CA",2013-05-20T13:47:00Z,2013-05-20,13,15.65,0.75,4.0,334.69,0.02,0.24
23.0,"Lake, CA",2013-11-23T14:17:00Z,2013-11-23,14,3.48,0.52,4.9,317.94,0.0,0.29
15.0,"Mendocino, CA",2013-12-30T11:00:00Z,2013-12-30,11,3.96,0.9,1.97,91.97,0.0,0.14
15.0,"Riverside, CA",2013-07-19T17:31:00Z,2013-07-19,17,26.57,0.44,4.81,76.1,0.0,0.1
15.0,"Madera, CA",2013-05-12T13:02:00Z,2013-05-12,13,19.47,0.57,1.83,318.02,0.0,0.13
0.0,"Humboldt, CA",2013-08-03T08:00:00Z,2013-08-03,8,8.81,0.86,2.51,103.21,0.0,0.33
0.0,"Riverside, CA",2013-06-09T12:30:00Z,2013-06-09,12,15.26,0.62,4.94,65.98,0.0,0.17
97717.0,"El Dorado, CA",2014-09-13T16:32:00Z,2014-09-13,16,27.5,0.4,6.52,298.64,0.0,0.03
50042.0,"Siskiyou, CA",2014-08-02T09:00:00Z,2014-08-02,9,21.01,0.35,0.41,116.77,0.0,0.15
39736.0,"Shasta, CA",2014-07-30T20:15:00Z,2014-07-30,20,36.66,0.18,2.43,190.73,0.0,0.24
35302.0,"Siskiyou, CA",2014-07-30T23:00:00Z,2014-07-30,23,34.13,0.15,1.91,253.9,0.0,0.15
32496.0,"Siskiyou, CA",2014-07-30T00:00:00Z,2014-07-30,0,34.09,0.11,2.57,238.14,0.01,0.15
32416.0,"Shasta, CA",2014-07-31T18:04:00Z,2014-07-31,18,33.17,0.21,1.02,189.43,0.0,0.24
14416.0,"San Diego, CA",2014-05-15T14:45:00Z,2014-05-15,14,20.84,0.34,2.69,76.34,0.0,0.03
13838.0,"Madera, CA",2014-07-28T05:45:00Z,2014-07-28,5,31.75,0.24,3.33,310.38,0.0,0.13
13153.0,"Modoc, CA",2014-07-30T19:01:00Z,2014-07-30,19,30.66,0.18,2.34,222.76,0.0,0.05
12661.0,"Shasta, CA",2014-07-11T15:37:00Z,2014-07-11,15,22.25,0.32,1.2,9.64,0.01,0.24
12536.0,"Mendocino, CA",2014-07-30T06:27:00Z,2014-07-30,6,15.78,0.94,2.94,333.98,0.0,0.1
6488.0,"Yolo, CA",2014-07-04T21:32:00Z,2014-07-04,21,14.48,0.89,1.67,207.75,0.0,0.32
6258.0,"Shasta, CA",2014-07-30T20:30:00Z,2014-07-30,20,36.66,0.18,2.43,190.73,0.0,0.24
5503.0,"Siskiyou, CA",2014-07-31T17:45:00Z,2014-07-31,17,27.76,0.25,0.94,143.78,0.0,0.15
5367.0,"San Diego, CA",2014-05-14T09:45:00Z,2014-05-14,9,19.59,0.34,2.33,36.72,0.0,0.03
4840.0,"Monterey, CA",2014-06-19T15:14:00Z,2014-06-19,15,13.12,0.77,2.17,314.68,0.0,0.05
4772.0,"Mariposa, CA",2014-08-16T00:00:00Z,2014-08-16,0,31.5,0.29,3.6,231.76,0.0,0.06
4689.0,"Mariposa, CA",2014-07-26T17:00:00Z,2014-07-26,17,26.37,0.39,1.69,194.84,0.0,0.06
4300.0,"Napa, CA",2014-07-01T12:08:00Z,2014-07-01,12,14.45,0.87,2.24,223.52,0.0,0.11
4300.0,"Lake, CA",2014-07-01T12:08:00Z,2014-07-01,12,22.26,0.84,1.83,203.29,0.0,0.2
4240.0,"Amador, CA",2014-07-25T16:34:00Z,2014-07-25,16,26.01,0.23,1.22,192.64,0.0,0.2
4240.0,"El Dorado, CA",2014-07-25T16:34:00Z,2014-07-25,16,27.22,0.57,4.49,116.02,0.01,0.04
4045.0,"Kern, CA",2014-08-18T14:30:00Z,2014-08-18,14,19.49,0.63,0.74,114.35,0.0,0.06
3895.0,"Kern, CA",2014-06-13T17:00:00Z,2014-06-13,17,20.55,0.45,2.22,208.47,0.0,0.06
2143.0,"San Bernardino, CA",2014-04-30T08:00:00Z,2014-04-30,8,15.51,0.13,2.27,42.79,0.0,0.08
1995.0,"San Diego, CA",2014-05-14T16:00:00Z,2014-05-14,16,26.2,0.17,2.63,21.16,0.0,0.03
1952.0,"Los Angeles, CA",2014-01-16T05:50:00Z,2014-01-16,5,16.37,0.2,2.45,22.68,0.0,0.02
1680.0,"Kern, CA",2014-07-11T13:46:00Z,2014-07-11,13,18.25,0.82,0.5,31.37,0.0,0.08
1651.0,"Modoc, CA",2014-07-01T19:00:00Z,2014-07-01,19,32.07,0.12,2.43,151.93,0.0,0.05
1548.0,"San Diego, CA",2014-05-13T11:00:00Z,2014-05-13,11,17.22,0.45,3.3,85.0,0.0,0.03
1469.0,"Modoc, CA",2014-07-03T15:46:00Z,2014-07-03,15,19.65,0.51,0.32,141.11,0.0,0.05
1457.0,"San Diego, CA",2014-05-16T11:24:00Z,2014-05-16,11,19.0,0.47,1.06,106.27,0.0,0.03
1375.0,"Shasta, CA",2014-09-10T00:30:00Z,2014-09-10,0,32.68,0.13,2.4,181.58,0.0,0.22
1080.0,"Mariposa, CA",2014-07-17T01:00:00Z,2014-07-17,1,24.83,0.51,2.34,227.78,0.0,0.15
968.0,"Orange, CA",2014-09-12T10:30:00Z,2014-09-12,10,20.87,0.82,0.21,150.29,0.0,0.06
865.0,"Tehama, CA",2014-01-02T20:00:00Z,2014-01-02,20,15.25,0.38,1.9,327.75,0.0,0.19
677.0,"Mariposa, CA",2014-05-26T15:33:00Z,2014-05-26,15,19.94,0.58,1.15,168.38,0.0,0.08
632.0,"Santa Barbara, CA",2014-05-13T14:00:00Z,2014-05-13,14,15.03,0.3,3.49,35.52,0.0,0.06
612.0,"Madera, CA",2014-08-18T13:50:00Z,2014-08-18,13,19.8,0.45,2.28,312.09,0.0,0.12
600.0,"San Diego, CA",2014-05-14T10:30:00Z,2014-05-14,10,18.93,0.36,2.77,69.93,0.0,0.03
580.0,"Trinity, CA",2014-08-24T16:36:00Z,2014-08-24,16,30.8,0.6,0.42,46.16,0.0,0.3
516.0,"Siskiyou, CA",2014-09-15T13:38:00Z,2014-09-15,13,11.39,0.56,1.38,122.2,0.0,0.15
487.0,"Tuolumne, CA",2014-06-04T11:45:00Z,2014-06-04,11,9.38,0.77,3.03,61.89,0.0,0.2
459.0,"Placer, CA",2014-10-08T13:33:00Z,2014-10-08,13,7.83,0.59,2.0,69.29,0.0,0.25
403.0,"Mendocino, CA",2014-09-13T15:48:00Z,2014-09-13,15,17.07,0.9,0.64,279.36,0.0,0.11
400.0,"Monterey, CA",2014-03-19T16:45:00Z,2014-03-19,16,12.68,0.66,0.62,12.34,0.0,0.07
389.0,"Butte, CA",2014-07-28T13:11:00Z,2014-07-28,13,18.87,0.37,1.65,51.41,0.0,0.16
380.0,"San Diego, CA",2014-05-14T13:00:00Z,2014-05-14,13,20.06,0.27,3.31,63.94,0.0,0.03
350.0,"Riverside, CA",2014-03-15T16:37:00Z,2014-03-15,16,11.75,0.71,7.16,271.69,0.0,0.25
333.0,"Humboldt, CA",2014-01-04T12:00:00Z,2014-01-04,12,-26.49,0.72,6.07,316.18,0.0,0.25
320.0,"Madera, CA",2014-09-14T13:36:00Z,2014-09-14,13,20.63,0.5,2.4,310.13,0.0,0.11
311.0,"Mariposa, CA",2014-10-07T15:05:00Z,2014-10-07,15,18.6,0.35,2.32,45.46,0.0,0.04
300.0,"Mariposa, CA",2014-09-05T12:39:00Z,2014-09-05,12,17.76,0.64,0.18,132.89,0.0,0.05
300.0,"Merced, CA",2014-07-24T12:06:00Z,2014-07-24,12,19.29,0.67,2.33,297.71,0.0,0.13
274.0,"Los Angeles, CA",2014-08-17T14:30:00Z,2014-08-17,14,20.27,0.56,1.14,123.29,0.0,0.05
269.0,"Tuolumne, CA",2014-06-05T13:04:00Z,2014-06-05,13,11.9,0.43,2.42,66.38,0.0,0.2
225.0,"Tehama, CA",2014-06-13T12:23:00Z,2014-06-13,12,15.48,0.31,1.75,335.88,0.0,0.09
217.0,"San Diego, CA",2014-07-03T10:43:00Z,2014-07-03,10,17.78,0.9,1.07,257.55,0.0,0.05
210.0,"Humboldt, CA",2014-09-12T15:00:00Z,2014-09-12,15,8.89,0.55,5.03,208.02,0.0,0.3
190.0,"Los Angeles, CA",2014-08-14T12:48:00Z,2014-08-14,12,17.74,0.84,0.29,203.02,0.0,0.05
175.0,"Lake, CA",2014-05-25T12:20:00Z,2014-05-25,12,12.23,0.86,1.34,308.37,0.0,0.37
143.0,"Shasta, CA",2014-07-09T13:45:00Z,2014-07-09,13,23.16,0.42,0.93,351.16,0.0,0.23
130.0,"Mariposa, CA",2014-06-10T15:11:00Z,2014-06-10,15,19.53,0.56,1.55,174.58,0.0,0.06
125.0,"Santa Clara, CA",2014-06-30T14:10:00Z,2014-06-30,14,28.87,0.27,2.66,260.8,0.0,0.17
