temperature,relative_humidity,wind_speed,wind_direction,total_precipitation,volumetric_soil_water_layer_1,Counties_Idx,Started_Date
4.49,0.85,2.25,9.72,0.0,0.28,7,2017-09-15
22.56,0.88,1.91,217.72,0.01,0.07,43,2015-10-15
23.0,0.78,1.08,66.28,0.0,0.06,1,2017-09-01
26.2,0.17,2.63,21.16,0.0,0.03,10,2014-05-14
26.59,0.5,2.83,278.36,0.0,0.13,23,2019-07-24
6.24,0.4,1.11,66.55,0.0,0.18,48,2019-10-15
20.11,0.54,1.34,46.42,0.0,0.03,10,2017-10-17
3.41,0.95,4.37,215.85,0.0,0.38,7,2017-05-15
16.05,0.77,6.6,276.11,0.01,0.26,2,2018-08-27
24.79,0.51,5.55,324.35,0.0,0.04,19,2014-08-15
23.31,0.52,1.81,188.44,0.0,0.09,11,2016-07-13
10.59,0.86,4.0,246.98,0.0,0.3,32,2013-10-15
17.9,0.8,0.35,204.49,0.0,0.07,35,2015-06-15
-7.12,0.94,1.62,89.09,0.0,0.39,38,2017-01-15
23.75,0.65,0.39,83.32,0.0,0.11,47,2013-10-15
12.55,0.96,1.75,140.01,0.0,0.09,18,2017-03-15
14.93,0.71,2.26,203.59,0.03,0.05,10,2018-05-22
19.66,0.65,0.75,65.96,0.0,0.23,48,2018-07-15
12.36,0.73,1.35,328.58,0.0,0.11,24,2017-11-15
21.27,0.31,0.33,21.56,0.0,0.15,14,2016-09-05
7.54,0.7,0.95,271.51,0.0,0.46,9,2016-04-15
17.11,0.75,1.09,91.13,0.09,0.22,47,2015-11-15
15.12,0.88,2.16,245.02,0.0,0.16,12,2018-08-15
11.16,0.82,3.22,252.73,1.14,0.24,22,2015-09-15
14.43,0.92,4.11,300.33,0.01,0.04,49,2013-09-15
8.56,0.86,1.85,333.15,0.1,0.36,36,2018-03-15
13.03,0.73,1.45,119.33,0.0,0.07,43,2017-04-15
5.49,0.88,3.03,262.97,0.01,0.29,2,2014-12-15
29.47,0.33,1.81,183.62,0.0,0.18,29,2016-08-09
18.78,0.3,1.16,82.14,0.0,0.07,20,2015-03-15
12.87,0.61,1.37,64.83,0.0,0.07,50,2014-03-15
20.25,0.34,3.49,341.97,0.0,0.13,8,2018-06-01
21.84,0.34,2.43,309.79,0.0,0.13,44,2015-08-15
27.37,0.42,1.43,199.02,0.0,0.13,41,2013-08-15
12.31,0.62,1.32,340.4,0.0,0.1,16,2018-12-15
9.57,0.78,2.12,51.6,0.0,0.35,14,2014-03-15
12.69,0.56,7.78,257.03,0.0,0.22,47,2015-02-06
18.17,0.76,5.74,126.87,0.0,0.3,7,2016-08-22
19.48,0.51,1.87,247.48,0.0,0.1,24,2014-10-15
25.17,0.27,2.13,350.5,0.0,0.12,23,2013-06-01
6.8,0.9,1.66,22.2,0.0,0.18,24,2015-01-15
12.91,0.7,1.72,20.36,0.0,0.2,11,2018-01-15
23.02,0.88,0.71,139.41,0.0,0.37,28,2018-07-15
0.91,0.83,0.71,84.66,0.21,0.45,48,2018-03-15
32.05,0.52,4.04,173.57,0.0,0.04,19,2018-08-01
12.62,0.64,1.53,152.35,0.0,0.08,33,2019-10-15
27.32,0.53,2.37,33.83,0.0,0.29,45,2017-08-30
24.02,0.9,4.36,146.85,0.11,0.18,42,2018-05-15
22.44,0.93,1.29,201.2,0.02,0.37,28,2017-11-15
15.9,0.43,1.15,128.69,0.0,0.07,43,2018-04-15
-0.08,0.73,5.75,198.58,0.0,0.31,7,2018-12-15
26.86,0.73,1.16,140.5,0.08,0.3,28,2019-09-05
9.25,0.8,1.89,184.3,0.05,0.33,23,2019-02-15
5.56,0.63,3.89,39.47,0.0,0.26,14,2013-02-15
7.82,0.44,3.55,342.37,0.0,0.33,29,2015-04-15
11.34,0.78,1.13,262.31,0.0,0.22,26,2017-11-15
11.03,0.84,6.86,143.51,0.59,0.12,18,2019-01-15
20.28,0.38,2.02,190.55,0.01,0.06,47,2013-05-15
16.49,0.74,2.38,129.2,0.0,0.06,43,2013-11-15
8.85,0.31,1.24,69.98,0.0,0.16,48,2019-11-15
17.93,0.84,1.15,256.23,0.0,0.05,10,2015-07-16
13.5,0.65,1.77,327.88,0.04,0.23,47,2019-04-15
13.21,0.79,1.99,346.8,0.0,0.04,49,2017-11-15
16.57,0.48,1.79,335.91,0.0,0.14,36,2018-05-02
4.69,0.87,5.74,45.73,0.01,0.27,2,2015-03-15
6.88,0.87,1.55,134.06,0.0,0.34,5,2014-12-15
12.2,0.76,1.81,354.94,0.0,0.14,24,2016-11-15
15.89,0.9,0.82,67.27,0.63,0.33,27,2015-05-15
7.05,1.63,0.39,58.26,0.79,0.45,4,2013-02-15
29.81,0.17,2.12,207.59,0.0,0.14,14,2018-09-24
24.39,0.29,0.75,215.79,0.0,0.07,11,2016-08-16
13.21,0.94,2.82,294.82,0.0,0.04,49,2017-07-15
15.03,0.88,0.96,63.72,0.55,0.26,27,2019-05-15
8.78,0.96,3.03,136.38,0.0,0.28,2,2018-11-15
13.38,0.67,1.38,72.39,0.0,0.35,3,2017-06-15
17.99,0.71,3.25,182.73,0.0,0.1,33,2018-08-15
6.5,0.89,1.35,105.65,0.4,0.45,40,2018-03-15
16.11,0.28,0.25,323.46,0.0,0.08,8,2018-09-28
27.76,0.19,4.59,348.01,0.0,0.12,8,2019-06-22
12.98,0.84,2.34,18.79,0.0,0.13,23,2017-11-15
13.06,0.21,2.63,11.49,0.0,0.04,11,2018-11-15
17.61,0.95,0.9,253.19,0.02,0.43,4,2018-01-09
14.53,0.5,3.61,104.68,0.0,0.05,18,2017-10-15
17.45,0.69,1.95,156.31,0.0,0.07,17,2019-07-08
9.37,0.75,2.83,54.58,0.0,0.2,23,2013-02-15
-0.52,0.9,3.18,238.48,0.0,0.32,32,2015-12-15
16.01,0.52,1.22,277.24,0.01,0.23,6,2018-05-09
1.58,0.97,4.12,181.65,0.26,0.35,32,2016-11-15
